Date,apple_kg,banana_kg,guava_kg,mangoes_kg,pomegranate_kg,orange_kg,lemon_kg,grapes_kg,watermelon_kg,muskmelon_kg,onion_kg,carrot_kg,garlic_kg,coriander_kg,cucumber_kg,radish_kg,cabbage_kg,cauliflower_kg,tomato_kg,potato_kg,ginger_kg,broccoli_kg,lady_finger_kg,chillies_kg,brinjal_kg,bitter_gourd_kg,spinach_kg,pumpkin_kg,pointed_gourd_kg,beetroot_kg,capsicum_kg,green_peas_kg
2022-01-01,139.31,183.74,55.07,11.81,76.29,225.67,60.55,116.24,12.69,8.88,269.27,187.66,37.13,28.62,59.38,52.52,76.05,138.3,161.6,302.82,41.26,18.1,60.07,25.14,64.68,39.38,49.93,51.2,30.72,44.42,48.71,90.75
2022-01-02,146.5,181.02,41.45,12.88,65.6,174.98,60.79,108.89,14.86,9.97,249.08,204.93,54.01,24.42,58.85,57.45,65.73,148.42,246.74,274.06,41.73,25.11,59.91,27.09,70.86,24.56,54.31,51.22,38.51,28.0,57.94,112.33
2022-01-03,91.91,173.53,48.52,13.36,64.66,140.59,51.19,119.48,13.46,9.08,228.51,148.15,35.35,28.46,65.17,42.41,65.05,134.49,201.9,235.44,37.67,18.43,65.94,28.32,52.82,30.38,48.52,36.1,0.0,30.58,57.05,86.42
2022-01-04,121.84,187.24,45.71,10.2,50.26,175.16,42.02,89.05,14.47,7.62,206.94,138.96,45.78,32.05,63.45,50.04,64.63,147.85,213.0,251.71,37.05,17.51,59.8,22.4,61.33,34.39,43.93,32.56,36.65,33.59,45.94,102.98
2022-01-05,119.76,190.39,43.74,9.33,61.1,192.37,42.51,120.47,12.41,9.33,229.42,153.42,45.93,27.83,85.11,47.99,86.4,108.38,189.73,213.47,33.74,21.93,47.34,22.86,66.17,32.09,45.21,41.56,41.32,31.03,53.26,101.6
2022-01-06,132.66,193.02,51.39,9.22,70.06,169.48,50.24,121.56,11.26,7.99,179.93,167.7,38.08,27.35,60.53,48.21,61.44,95.71,205.49,233.12,41.48,18.22,43.51,29.65,60.92,24.53,37.44,38.67,31.8,32.45,54.8,97.48
2022-01-07,120.95,225.82,47.83,9.22,76.42,144.32,50.5,102.8,11.36,7.37,217.16,134.23,38.45,29.45,64.63,43.53,67.0,138.11,235.11,258.09,39.01,17.89,54.08,22.8,58.24,28.87,54.39,46.16,31.49,25.08,53.59,98.1
2022-01-08,141.94,156.54,55.47,11.76,56.63,194.24,50.49,88.38,13.85,9.48,261.81,176.79,51.65,32.35,78.21,52.16,71.21,142.21,238.99,303.95,38.23,19.27,69.65,27.84,71.71,29.18,58.28,51.9,46.95,41.23,44.85,115.21
2022-01-09,140.35,159.49,48.12,8.61,64.19,197.14,50.86,137.84,12.32,9.46,241.64,158.82,42.91,34.36,85.56,59.13,62.14,109.88,192.99,330.93,38.0,21.15,54.75,33.99,58.26,29.71,51.99,46.9,32.83,34.6,47.55,107.97
2022-01-10,132.65,177.37,53.96,8.62,53.18,178.21,49.34,129.15,14.34,6.83,203.14,163.55,52.33,26.66,79.61,44.65,67.89,123.23,225.96,256.3,23.5,18.22,60.97,24.26,46.12,30.04,43.16,40.45,38.41,25.77,48.02,90.72
2022-01-11,117.34,223.44,46.37,10.5,58.84,173.85,63.02,80.58,11.62,9.23,223.6,128.93,42.63,28.13,69.94,39.34,71.84,142.74,198.23,234.66,30.33,21.6,34.22,31.49,66.15,31.62,50.09,45.99,37.95,33.39,48.09,95.69
2022-01-12,137.6,195.68,51.07,11.28,65.84,195.4,44.09,128.06,14.09,10.89,199.29,170.15,53.4,26.49,67.08,31.39,56.44,118.61,150.29,222.23,31.58,18.37,49.93,22.24,47.04,27.83,54.51,40.93,33.27,36.7,54.82,95.62
2022-01-13,113.83,158.42,46.83,11.29,68.4,148.22,47.55,128.57,10.83,8.88,214.15,148.71,51.94,22.8,62.35,53.69,62.7,129.39,179.99,292.74,34.04,18.74,52.56,31.26,67.44,29.7,47.13,40.34,41.77,29.06,47.51,98.54
2022-01-14,127.67,183.74,36.14,10.25,68.66,111.95,55.12,0.0,12.04,9.38,243.21,153.37,44.61,23.39,68.86,63.09,65.26,115.37,174.96,263.85,39.7,18.57,53.77,24.14,57.97,31.62,48.59,40.83,35.16,29.82,43.81,122.2
2022-01-15,141.06,197.24,57.83,12.44,56.0,148.54,60.39,123.98,13.24,7.96,274.48,141.62,51.85,27.6,88.28,51.78,79.4,123.16,220.71,285.48,37.63,23.7,61.83,21.03,49.84,27.58,46.99,41.89,39.82,38.42,60.93,106.97
2022-01-16,168.94,196.4,53.98,12.91,67.27,161.34,57.84,127.14,11.55,11.27,254.32,141.13,56.8,25.43,76.81,47.98,79.79,156.82,253.94,296.61,33.9,24.43,51.44,21.87,74.81,29.66,42.89,41.32,35.72,46.07,50.56,127.48
2022-01-17,112.62,168.35,39.86,9.65,55.66,188.21,39.65,111.47,11.93,8.63,194.37,150.44,39.69,27.24,71.71,61.11,52.19,116.94,219.06,285.24,36.76,19.85,47.18,23.46,68.55,27.03,44.1,37.79,32.39,33.19,40.85,109.71
2022-01-18,128.87,181.96,42.32,11.38,58.44,163.62,48.46,118.81,12.67,7.44,211.59,153.92,43.07,29.69,75.25,38.75,80.14,121.63,184.92,305.56,37.07,19.74,52.41,25.54,58.43,28.52,47.78,48.86,31.29,27.42,47.84,87.34
2022-01-19,118.36,203.35,54.15,8.26,56.56,203.44,60.79,96.48,9.24,10.01,224.1,140.36,53.24,25.01,70.99,53.31,68.66,126.63,210.87,217.97,33.64,20.14,44.61,24.42,67.91,28.94,37.31,29.18,37.32,23.12,41.37,85.08
2022-01-20,108.13,170.15,40.1,8.59,50.31,146.84,45.24,88.74,13.09,8.67,201.92,155.77,50.0,21.29,72.49,45.64,64.82,115.11,187.97,252.35,39.12,20.33,51.82,28.8,62.29,30.13,53.95,36.87,37.14,36.8,39.94,100.08
